,0,1,2,3,4,5,6,7,8,9,10
0,0.26666666666666666,0.4444444444444444,0.2222222222222222,0.26666666666666666,0.4444444444444444,0.26666666666666666,46,66,91,164,0
1,0.1782178217821782,0.32673267326732675,0.4158415841584158,0.1782178217821782,0.32673267326732675,0.43564356435643564,52,69,101,159,0
2,0.2222222222222222,0.6349206349206349,0.19047619047619047,0.38095238095238093,0.25396825396825395,0.19047619047619047,65,100,139,237,0
3,0.3237410071942446,0.28776978417266186,0.2949640287769784,0.3237410071942446,0.2733812949640288,0.302158273381295,68,92,131,212,0
4,0.13333333333333333,2.6666666666666665,0.26666666666666666,0.13333333333333333,2.0,0.26666666666666666,75,102,154,316,0
5,0.19565217391304346,0.13043478260869565,0.25,0.3804347826086957,0.29347826086956524,0.25,57,77,108,196,0
6,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.6153846153846154,0.3076923076923077,0.3076923076923077,42,67,90,123,0
7,0.34285714285714286,0.37714285714285717,0.5142857142857142,0.2914285714285714,0.35428571428571426,0.5485714285714286,66,88,127,219,0
8,0.30000000000000004,0.22857142857142856,0.18571428571428572,0.34285714285714286,0.2857142857142857,0.18571428571428572,38,53,79,138,0
9,0.2857142857142857,0.4444444444444444,0.2857142857142857,0.23809523809523808,0.47619047619047616,0.2857142857142857,66,86,129,206,0
10,0.41379310344827586,0.20689655172413793,0.2413793103448276,0.5172413793103449,0.20689655172413793,0.2413793103448276,7,12,21,51,0
11,0.10526315789473684,0.3157894736842105,0.21052631578947367,0.8421052631578947,0.42105263157894735,0.23684210526315788,50,72,103,159,0
12,0.29032258064516125,0.3935483870967742,0.3225806451612903,0.29032258064516125,0.3935483870967742,0.3225806451612903,82,108,153,266,0
13,0.2222222222222222,0.2962962962962963,0.14814814814814814,0.2222222222222222,0.2962962962962963,0.18518518518518517,52,72,86,120,0
14,0.5555555555555556,0.5185185185185185,0.3333333333333333,0.3333333333333333,0.5925925925925926,0.37037037037037035,88,105,169,240,0
15,0.41025641025641024,0.28205128205128205,0.3333333333333333,0.3076923076923077,0.3076923076923077,0.34615384615384615,44,63,92,162,0
16,0.22535211267605634,0.39436619718309857,0.29107981220657275,0.24742268041237114,0.26804123711340205,0.38144329896907214,58,72,99,161,0
17,0.4,0.5333333333333333,0.26666666666666666,0.30000000000000004,0.26666666666666666,0.6,49,74,125,254,0
